Day Index,Qa Sales,Qb Sales,Qa Stock,Qb Stock
0,0,0,60,30
1,4,2,56,28
2,12,4,48,26
3,12,4,48,26
4,13,8,47,22
5,19,11,41,19
6,20,11,40,19
7,26,11,34,19
8,28,13,32,17
9,30,14,30,16
10,30,14,30,16
11,30,14,30,16
12,32,16,28,14
13,32,17,28,13
14,33,17,27,13
15,33,17,27,13
16,33,18,27,30
17,34,18,26,30
18,34,20,26,28
19,34,20,26,28
20,35,23,25,25
21,35,23,25,25
22,35,23,25,25
23,36,27,24,21
24,36,27,24,21
25,36,29,24,19
26,37,30,23,18
27,37,32,23,16
28,39,32,21,16
29,39,34,21,14
30,39,34,21,14
31,40,35,20,13
32,40,35,20,13
33,40,35,20,13
34,43,36,17,30
35,44,38,16,28
36,45,38,15,28
37,46,40,14,26
38,46,40,14,26
39,47,44,13,22
40,48,46,60,20
41,55,48,53,18
42,58,48,50,18
43,58,48,50,18
44,58,50,50,16
45,66,50,42,16
46,66,51,42,15
47,72,51,36,15
48,72,52,36,14
49,73,52,35,14
50,73,52,35,14
51,77,53,31,13
52,77,53,31,13
53,77,53,31,13
54,80,54,28,30
55,80,57,28,27
56,80,60,28,24
57,84,62,24,22
58,84,62,24,22
59,87,62,21,22
59,87,62,21,19
