Day Index,Qa Sales,Qb Sales,Qa Stock,Qb Stock
0,0,0,60,30
1,6,2,54,28
2,6,6,54,24
3,14,6,46,24
4,14,9,46,21
5,22,9,38,21
6,22,9,38,21
7,22,12,38,18
8,26,13,34,17
9,30,14,30,16
10,33,15,27,15
11,33,15,27,15
12,33,15,27,15
13,37,16,23,14
14,37,17,23,13
15,37,17,23,13
16,39,17,21,13
17,42,18,18,30
18,42,18,18,30
19,43,18,17,30
20,45,22,15,26
21,45,24,15,24
22,45,24,15,24
23,46,27,14,21
24,46,27,14,21
25,47,27,13,21
26,47,28,13,20
27,48,29,60,19
28,48,29,60,19
29,48,31,60,17
30,54,33,54,15
31,57,33,51,15
32,57,33,51,15
33,57,34,51,14
34,61,34,47,14
35,61,34,47,14
36,61,35,47,13
37,64,35,44,13
38,64,36,44,30
39,68,40,40,26
40,68,41,40,25
41,69,44,39,22
42,69,44,39,22
43,72,44,36,22
44,72,45,36,21
45,76,46,32,20
46,78,46,30,20
47,78,46,30,20
48,80,49,28,17
49,80,50,28,16
50,81,50,27,16
51,81,51,27,15
52,81,51,27,15
53,84,51,24,15
54,84,52,24,14
55,84,53,24,13
56,87,54,21,30
57,87,54,21,30
58,87,57,21,27
59,88,61,20,23
59,88,61,20,21
