Day Index,Qa Sales,Qb Sales,Qa Stock,Qb Stock
0,0,0,60,30
1,7,2,53,28
2,7,2,53,28
3,15,2,45,28
4,15,4,45,26
5,15,4,45,26
6,23,6,37,24
7,23,6,37,24
8,23,8,37,22
9,28,8,32,22
10,28,10,32,20
11,31,10,29,20
12,31,10,29,20
13,31,12,29,18
14,32,12,28,18
15,35,12,25,18
16,35,14,25,16
17,35,14,25,16
18,37,14,23,16
19,39,15,21,15
20,39,16,21,14
21,40,16,20,14
22,40,17,20,13
23,40,17,20,13
24,42,17,18,13
25,42,18,18,30
26,42,22,18,26
27,43,22,17,26
28,43,24,17,24
29,43,26,17,22
30,44,26,16,22
31,45,27,15,21
32,45,29,15,19
33,45,29,15,19
34,47,29,13,19
35,48,31,60,17
36,58,31,50,17
37,63,33,45,15
38,63,33,45,15
39,68,33,40,15
40,68,34,40,14
41,68,35,40,13
42,72,35,36,13
43,72,35,36,13
44,72,36,36,30
45,78,39,30,27
46,78,42,30,24
47,78,42,30,24
48,79,42,29,24
49,81,43,27,23
50,81,44,27,22
51,81,45,27,21
52,82,47,26,19
53,83,47,25,19
54,83,48,25,18
55,85,48,23,18
56,85,48,23,18
57,86,49,22,17
58,89,49,19,17
59,89,49,19,17
59,89,49,19,16
